33014	Activate the breakdown view
33015	Activate the detail view
33016	Split the explorer view
33018	Show or hide the explorer window
33022	Create a new character
33027	Update the view to account for any changes
33029	Create a new thread
33033	Delete the selected item
33034	Create a new location
33035	Create a new production resource
33036	Create a new resource category
33055	Insert a step
33066	Toggle step as off-screen
33068	Revert list to script order
33069	Insert end-of-day divider
33070	Remove all dividers
33073	Show or hide the bookmark toolbar
33075	Show or hide the primary toolbar
33077	Show or hide the view toolbar
33078	Manually create view presets
33085	Close window
33094	Assign a password to the current script file
33095	Remove password protection from the current script
33099	Collapse explorer nodes
33100	Expand to first level of explorer nodes
33101	Expand to second level of explorer nodes
33115	Hide empty resource categories
33117	Sort explorer items
33123	Rename item
33125	Delete the selected header
33127	Insert a new header
33128	Edit properties for current resource
33135	Edit report header strings
33136	Add/remove production units
33137	Edit properties for current thread
33138	Add/remove character aliases
33145	Specify no-shoot days
33147	Insert travel day divider
33148	Insert sequence divider
33159	Run the auto-schedule tool
33160	View production checklist
33170	Ignore This Session
33171	Add to Custom Dictionary
33173	Store current schedule
33174	Load a previously stored schedule
33176	Bookmark all scenes containing the current resource
33178	Display any availability violations for resources contained in the current breakdown page
33182	Customize toolbars
33185	Change the view options
33186	Insert copyright symbol
33187	Print/Preview the script
33189	Print/Preview the most recently viewed report
33191	Print/preview the sides for a given day
33203	Preview and print the budget
33209	Edit the budget
33211	Create a file containing production data
33212	Revert list to chronological order
33213	Toggle header between Act and Sequence
33214	Diagram Settings
33215	Add resource to scene
33217	Opens the Help window
33218	Help with this view
33220	Search Help
33226	Word statistics by character
33228	Word statistics by set
33229	Add or remove words from the custom spell-check dictionary
33230	Normal Script-View layout
33231	&Page-style Script-View layout
33234	&Page-style Script-View layout
33237	Delete all locations
33238	Auto-generate locations
33239	Delete all locations
33242	Toggle revision mark
33243	Toggle gap revision mark
33245	Restore paragraph marks
33246	Edit locked paragraph
33251	Revision page generation
33252	Force page break
33253	Edit manual revision marks
33254	Edit forced page-breaks
33279	Enalarge font for current view
33280	Reduce font size for current view
50027	Zoom x1
50028	Zoom x2
50029	Zoom x4
50030	Zoom x8
50043	no cur scn
50044	rev trk off
50045	OVR
50046	Total time
53773	Sorts the selected column in ascending order
53774	Sorts the selected column in descending order
53775	Left alligns the contents of the selected column
53776	Center alligns the contents of the selected column
53777	Right alligns the contents of the selected column
53778	Display large icons
53779	Display small icons
53780	Remove from Outlook Bar
53781	Rename Shortcut
53782	Allows for customization of the toolbar
53783	Display full menus
53784	Remove Group
53785	Rename Group
53787	Categorized
53788	Alphabetic
57344	Sophocles
57345	Ready
57346	Select an object on which to get Help
57600	Create a new script
57601	Open an existing script
57602	Close the active document
57603	Save the current script
57604	Save the current script with a new name
57609	Print/Preview the contents of the current view
57612	Send the current script as e-mail
57616	Open this document
57617	Open this document
57618	Open this document
57619	Open this document
57620	Open this document
57621	Open this document
57622	Open this document
57623	Open this document
57624	Open this document
57625	Open this document
57626	Open this document
57627	Open this document
57628	Open this document
57629	Open this document
57630	Open this document
57631	Open this document
57634	Place a copy of the selection in the clipboard
57635	Cut the selection and put it in the clipboard
57636	Find the specified text
57637	Insert clipboard contents
57641	Find and replace specified text with other text
57643	Undo the last action
57644	Redo the previously undone action
57664	Display program information, version number and copyright
57665	Quit the application (prompts to save the script)
57666	Opens the Help index
57667	List Help topics
57668	Display instructions about how to use help
57669	Display help for clicked on buttons, menus and windows
57670	Display help for current task or command
58112	Close the preview
58113	Display single page or double page view
58114	Go to the next page
58115	Go to the previous page
58116	Print the previewed item
58117	Increase magnification of preview page
58118	Decrease magnification of preview page
59137	CAP
59138	NUM
59139	SCRL
59140	OVR
59142	Kana
59393	Show or hide the status bar
61440	Open
61441	Save As
61442	All Files (*.*)
61443	Untitled
61445	Close print preview mode
61446	an unnamed file
61457	&Hide
61472	No error message is available.
61473	An unsupported operation was attempted.
61474	A required resource was unavailable.
61475	Out of memory.
61476	An unknown error has occurred.
61477	An invalid argument was encountered.
61504	on %1
61505	&One Page
61506	&Two Page
61507	Page %u
61508	Page %u
61509	prn
61510	Output.prn
61511	Printer Files (*.prn)|*.prn|All Files (*.*)|*.*||
61512	Print to File
61513	to %1
61696	Invalid filename.
61697	Failed to open document.
61698	Failed to save document.
61699	Save changes to %1?
61700	Failed to create empty document.
61701	The file is too large to open.
61702	Could not start print job.
61703	Failed to launch help.
61704	Internal application error.
61705	Command failed.
61706	Insufficient memory to perform operation.
61707	System registry entries have been removed and the INI file (if any) was deleted.
61708	Not all of the system registry entries (or INI file) were removed.
61709	This program requires the file %s, which was not found on this system.
61710	This program is linked to the missing export %s in the file %s. This machine may have an incompatible version of %s.
61712	Please enter an integer.
61713	Please enter a number.
61714	Please enter an integer between %1 and %2.
61715	Please enter a number between %1 and %2.
61716	Please enter no more than %1 characters.
61717	Please select a button.
61718	Please enter an integer between 0 and 255.
61719	Please enter a positive integer.
61720	Please enter a date and/or time.
61721	Please enter a currency.
61722	Please enter a GUID.
61723	Please enter a time.
61724	Please enter a date.
61728	Unexpected file format.
61729	%1
61730	Destination disk drive is full.
61731	Unable to read from %1, it is opened by someone else.
61732	Unable to write to %1, it is read-only or opened by someone else.
61733	An unexpected error occurred while reading %1.
61734	An unexpected error occurred while writing %1.
61744	%1: %2
61745	Dispatch exception: %1
61836	Unable to read write-only property.
61837	Unable to write read-only property.
61840	Unable to load mail system support.
61841	Mail system DLL is invalid.
61842	Send Mail failed to send message.
61856	No error occurred.
61857	An unknown error occurred while accessing %1.
61858	%1 was not found.
61859	%1 contains an invalid path.
61860	%1 could not be opened because there are too many open files.
61861	Access to %1 was denied.
61862	An invalid file handle was associated with %1.
61863	%1 could not be removed because it is the current directory.
61864	%1 could not be created because the directory is full.
61865	Seek failed on %1
61866	A hardware I/O error was reported while accessing %1.
61867	A sharing violation occurred while accessing %1.
61868	A locking violation occurred while accessing %1.
61869	Disk full while accessing %1.
61870	An attempt was made to access %1 past its end.
61872	No error occurred.
61873	An unknown error occurred while accessing %1.
61874	An attempt was made to write to the reading %1.
61875	An attempt was made to access %1 past its end.
61876	An attempt was made to read from the writing %1.
61877	%1 has a bad format.
61878	%1 contained an unexpected object.
61879	%1 contains an incorrect schema.
61888	pixels
62177	Uncheck
62178	Check
62179	Mixed
